# ASY+PE method (with partition functions): 14944 integration steps # All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-10.929 -11.893 15.641 26.555 0.000 0.000 1.000 -2.449e+00 -3.198e-01 -3.013e-01 -1.760e+00 -3.323e+00 -5.721e+00 -1.047e+01 -1.607e+01 -2.283e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.879 -11.843 15.689 26.551 0.000 0.000 1.000 -2.401e+00 -3.220e-01 -3.013e-01 -1.712e+00 -3.274e+00 -5.668e+00 -1.032e+01 -1.582e+01 -2.250e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.829 -11.793 15.737 26.546 0.000 0.000 1.000 -2.353e+00 -3.245e-01 -3.014e-01 -1.664e+00 -3.224e+00 -5.614e+00 -1.017e+01 -1.557e+01 -2.216e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.779 -11.743 15.784 26.542 0.000 0.000 1.000 -2.306e+00 -3.273e-01 -3.014e-01 -1.617e+00 -3.175e+00 -5.560e+00 -1.002e+01 -1.532e+01 -2.182e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.729 -11.693 15.831 26.536 0.000 0.000 1.000 -2.259e+00 -3.304e-01 -3.014e-01 -1.570e+00 -3.125e+00 -5.505e+00 -9.869e+00 -1.508e+01 -2.147e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.679 -11.643 15.878 26.530 0.000 0.000 1.000 -2.212e+00 -3.339e-01 -3.015e-01 -1.523e+00 -3.076e+00 -5.450e+00 -9.718e+00 -1.483e+01 -2.113e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.629 -11.593 15.924 26.523 0.000 0.000 1.000 -2.165e+00 -3.377e-01 -3.015e-01 -1.477e+00 -3.026e+00 -5.393e+00 -9.566e+00 -1.458e+01 -2.078e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.579 -11.543 15.970 26.516 0.000 0.000 1.000 -2.119e+00 -3.420e-01 -3.016e-01 -1.431e+00 -2.976e+00 -5.336e+00 -9.414e+00 -1.433e+01 -2.044e+01 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.529 -11.493 16.016 26.508 0.000 0.000 1.000 -2.074e+00 -3.468e-01 -3.017e-01 -1.386e+00 -2.926e+00 -5.277e+00 -9.261e+00 -1.408e+01 -2.009e+01 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-10.479 -11.443 16.061 26.499 0.000 0.000 1.000 -2.029e+00 -3.521e-01 -3.017e-01 -1.341e+00 -2.875e+00 -5.217e+00 -9.108e+00 -1.383e+01 -1.975e+01 -2.393e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
